Country,Date,DeathCount
Brazil,1/22/2020,0
Brazil,1/23/2020,0
Brazil,1/24/2020,0
Brazil,1/25/2020,0
Brazil,1/26/2020,0
Brazil,1/27/2020,0
Brazil,1/28/2020,0
Brazil,1/29/2020,0
Brazil,1/30/2020,0
Brazil,1/31/2020,0
Brazil,2/1/2020,0
Brazil,2/2/2020,0
Brazil,2/3/2020,0
Brazil,2/4/2020,0
Brazil,2/5/2020,0
Brazil,2/6/2020,0
Brazil,2/7/2020,0
Brazil,2/8/2020,0
Brazil,2/9/2020,0
Brazil,2/10/2020,0
Brazil,2/11/2020,0
Brazil,2/12/2020,0
Brazil,2/13/2020,0
Brazil,2/14/2020,0
Brazil,2/15/2020,0
Brazil,2/16/2020,0
Brazil,2/17/2020,0
Brazil,2/18/2020,0
Brazil,2/19/2020,0
Brazil,2/20/2020,0
Brazil,2/21/2020,0
Brazil,2/22/2020,0
Brazil,2/23/2020,0
Brazil,2/24/2020,0
Brazil,2/25/2020,0
Brazil,2/26/2020,0
Brazil,2/27/2020,0
Brazil,2/28/2020,0
Brazil,2/29/2020,0
Brazil,3/1/2020,0
Brazil,3/2/2020,0
Brazil,3/3/2020,0
Brazil,3/4/2020,0
Brazil,3/5/2020,0
Brazil,3/6/2020,0
Brazil,3/7/2020,0
Brazil,3/8/2020,0
Brazil,3/9/2020,0
Brazil,3/10/2020,0
Brazil,3/11/2020,0
Brazil,3/12/2020,0
Brazil,3/13/2020,0
Brazil,3/14/2020,0
Brazil,3/15/2020,0
Brazil,3/16/2020,0
Brazil,3/17/2020,1
Brazil,3/18/2020,3
Brazil,3/19/2020,6
Brazil,3/20/2020,11
Brazil,3/21/2020,15
Brazil,3/22/2020,25
Brazil,3/23/2020,34
Brazil,3/24/2020,46
Brazil,3/25/2020,59
Brazil,3/26/2020,77
Brazil,3/27/2020,92
Brazil,3/28/2020,111
Brazil,3/29/2020,136
Brazil,3/30/2020,159
Brazil,3/31/2020,201
Brazil,4/1/2020,240
Brazil,4/2/2020,324
Brazil,4/3/2020,359
Brazil,4/4/2020,445
Brazil,4/5/2020,486
Brazil,4/6/2020,564
Brazil,4/7/2020,686
Brazil,4/8/2020,819
Brazil,4/9/2020,950
Brazil,4/10/2020,1057
Brazil,4/11/2020,1124
Brazil,4/12/2020,1223
Brazil,4/13/2020,1328
Brazil,4/14/2020,1532
Brazil,4/15/2020,1736
Brazil,4/16/2020,1924
Brazil,4/17/2020,2141
Brazil,4/18/2020,2354
Brazil,4/19/2020,2462
Brazil,4/20/2020,2587
Brazil,4/21/2020,2741
Brazil,4/22/2020,2906
Brazil,4/23/2020,3331
Brazil,4/24/2020,3704
Brazil,4/25/2020,4057
Brazil,4/26/2020,4286
Brazil,4/27/2020,4603
Brazil,4/28/2020,5083
Brazil,4/29/2020,5513
Brazil,4/30/2020,6006
Brazil,5/1/2020,6412
Brazil,5/2/2020,6761
Brazil,5/3/2020,7051
Brazil,5/4/2020,7367
Brazil,5/5/2020,7938
Brazil,5/6/2020,8588
Brazil,5/7/2020,9190
Brazil,5/8/2020,10017
Brazil,5/9/2020,10656
Brazil,5/10/2020,11123
Brazil,5/11/2020,11653
Brazil,5/12/2020,12461
Brazil,5/13/2020,13240
Brazil,5/14/2020,13999
Brazil,5/15/2020,14962
Brazil,5/16/2020,15662
Brazil,5/17/2020,16118
Brazil,5/18/2020,16853
Brazil,5/19/2020,17983
Brazil,5/20/2020,18859
Brazil,5/21/2020,20047
Brazil,5/22/2020,21048
Brazil,5/23/2020,22013
Brazil,5/24/2020,22666
Brazil,5/25/2020,23473
Brazil,5/26/2020,24512
Brazil,5/27/2020,25598
Brazil,5/28/2020,26754
Brazil,5/29/2020,27878
Brazil,5/30/2020,28834
Brazil,5/31/2020,29314
Brazil,6/1/2020,29937
Brazil,6/2/2020,31199
Brazil,6/3/2020,32548
Brazil,6/4/2020,34021
Brazil,6/5/2020,35026
Brazil,6/6/2020,35930
Brazil,6/7/2020,36455
Brazil,6/8/2020,37134
Brazil,6/9/2020,38406
Brazil,6/10/2020,39680
Brazil,6/11/2020,40919
Brazil,6/12/2020,41828
Brazil,6/13/2020,42720
Brazil,6/14/2020,43332
Brazil,6/15/2020,43959
Brazil,6/16/2020,45241
Brazil,6/17/2020,46510
Brazil,6/18/2020,47748
Brazil,6/19/2020,48954
Brazil,6/20/2020,49976
Brazil,6/21/2020,50591
Brazil,6/22/2020,51271
Brazil,6/23/2020,52645
Brazil,6/24/2020,53830
Brazil,6/25/2020,54971
Brazil,6/26/2020,55961
Brazil,6/27/2020,57070
Brazil,6/28/2020,57622
Brazil,6/29/2020,58314
Brazil,6/30/2020,59594
Brazil,7/1/2020,60632
Brazil,7/2/2020,61884
Brazil,7/3/2020,63174
Brazil,7/4/2020,64265
Brazil,7/5/2020,64867
Brazil,7/6/2020,65487
Brazil,7/7/2020,66741
Brazil,7/8/2020,67964
Brazil,7/9/2020,69184
Brazil,7/10/2020,70398
Brazil,7/11/2020,71469
Brazil,7/12/2020,72100
Brazil,7/13/2020,72833
Brazil,7/14/2020,74133
Brazil,7/15/2020,75366
Brazil,7/16/2020,76688
Brazil,7/17/2020,77851
Brazil,7/18/2020,78772
Brazil,7/19/2020,79488
Brazil,7/20/2020,80120
Brazil,7/21/2020,81487
Brazil,7/22/2020,82771
Brazil,7/23/2020,84082
Brazil,7/24/2020,85238
Brazil,7/25/2020,86449
Brazil,7/26/2020,87004
Brazil,7/27/2020,87618
Brazil,7/28/2020,88539
Brazil,7/29/2020,90134
Brazil,7/30/2020,91263
Brazil,7/31/2020,92475
Brazil,8/1/2020,93563
Brazil,8/2/2020,94104
Brazil,8/3/2020,94665
Brazil,8/4/2020,95819
Brazil,8/5/2020,97256
Brazil,8/6/2020,98493
Brazil,8/7/2020,99572
Brazil,8/8/2020,100477
Brazil,8/9/2020,101049
Brazil,8/10/2020,101752
Brazil,8/11/2020,103026
Brazil,8/12/2020,104201
Brazil,8/13/2020,105463
Brazil,8/14/2020,106523
Brazil,8/15/2020,107232
Brazil,8/16/2020,107852
Brazil,8/17/2020,108536
Brazil,8/18/2020,109888
Brazil,8/19/2020,111100
Brazil,8/20/2020,112304
Brazil,8/21/2020,113358
Brazil,8/22/2020,114250
Brazil,8/23/2020,114744
Brazil,8/24/2020,115309
Brazil,8/25/2020,116580
Brazil,8/26/2020,117665
Brazil,8/27/2020,118649
Brazil,8/28/2020,119504
Brazil,8/29/2020,120262
Brazil,8/30/2020,120828
Brazil,8/31/2020,121381
Brazil,9/1/2020,122596
Brazil,9/2/2020,123780
Brazil,9/3/2020,124614
Brazil,9/4/2020,125502
Brazil,9/5/2020,126203
Brazil,9/6/2020,126650
Brazil,9/7/2020,126960
Brazil,9/8/2020,127464
Brazil,9/9/2020,128539
Brazil,9/10/2020,129522
Brazil,9/11/2020,130396
Brazil,9/12/2020,131210
Brazil,9/13/2020,131625
Brazil,9/14/2020,132006
Brazil,9/15/2020,133119
Brazil,9/16/2020,134106
Brazil,9/17/2020,134935
Brazil,9/18/2020,135793
Brazil,9/19/2020,136532
Brazil,9/20/2020,136895
Brazil,9/21/2020,137272
Brazil,9/22/2020,138105
Brazil,9/23/2020,138105
Brazil,9/24/2020,139808
Brazil,9/25/2020,140537
Brazil,9/26/2020,141406
Brazil,9/27/2020,141741
Brazil,9/28/2020,142058
Brazil,9/29/2020,142921
Brazil,9/30/2020,143952
Brazil,10/1/2020,144680
Brazil,10/2/2020,144680
Brazil,10/3/2020,145987
Brazil,10/4/2020,146352
Brazil,10/5/2020,146675
Brazil,10/6/2020,147494
Brazil,10/7/2020,148228
Brazil,10/8/2020,148957
Brazil,10/9/2020,149639
Brazil,10/10/2020,150198
Brazil,10/11/2020,150488
Brazil,10/12/2020,150689
Brazil,10/13/2020,150998
Brazil,10/14/2020,151747
Brazil,10/15/2020,152460
Brazil,10/16/2020,153214
Brazil,10/17/2020,153675
Brazil,10/18/2020,153675
Brazil,10/19/2020,154176
Brazil,10/20/2020,154837
Brazil,10/21/2020,155403
Brazil,10/22/2020,155900
Brazil,10/23/2020,156471
Brazil,10/24/2020,156903
Brazil,10/25/2020,156903
France,1/22/2020,0
France,1/23/2020,0
France,1/24/2020,0
France,1/25/2020,0
France,1/26/2020,0
France,1/27/2020,0
France,1/28/2020,0
France,1/29/2020,0
France,1/30/2020,0
France,1/31/2020,0
France,2/1/2020,0
France,2/2/2020,0
France,2/3/2020,0
France,2/4/2020,0
France,2/5/2020,0
France,2/6/2020,0
France,2/7/2020,0
France,2/8/2020,0
France,2/9/2020,0
France,2/10/2020,0
France,2/11/2020,0
France,2/12/2020,0
France,2/13/2020,0
France,2/14/2020,0
France,2/15/2020,1
France,2/16/2020,1
France,2/17/2020,1
France,2/18/2020,1
